Request id,Pickup point,Driver id,Status,Request,Req_timestamp,Day Category,Drop,Drop_timestamp,Travel Time,Distance
619,Airport,1,Trip Completed,11-07-2016,11:51:00 AM,Morning,11-07-2016,1:00:00 PM,1:09:00 ,Far
867,Airport,1,Trip Completed,11-07-2016,5:57:00 PM,Evening,11-07-2016,6:47:00 PM,0:50:00 ,Medium
1807,City,1,Trip Completed,12-07-2016,9:17:00 AM,Morning,12-07-2016,9:58:00 AM,0:41:00 ,Medium
2532,Airport,1,Trip Completed,12-07-2016,9:08:00 PM,Night,12-07-2016,10:03:00 PM,0:55:00 ,Medium
3112,City,1,Trip Completed,13-07-2016,8:33:16 AM,Morning,13-07-2016,9:25:47 AM,0:52:31 ,Medium
3879,Airport,1,Trip Completed,13-07-2016,9:57:28 PM,Night,13-07-2016,10:28:59 PM,0:31:31 ,Medium
4270,Airport,1,Trip Completed,14-07-2016,6:15:32 AM,Morning,14-07-2016,7:13:15 AM,0:57:43 ,Medium
5510,Airport,1,Trip Completed,15-07-2016,5:11:52 AM,Morning,15-07-2016,6:07:52 AM,0:56:00 ,Medium
6248,City,1,Trip Completed,15-07-2016,5:57:27 PM,Evening,15-07-2016,6:50:51 PM,0:53:24 ,Medium
267,City,2,Trip Completed,11-07-2016,6:46:00 AM,Morning,11-07-2016,7:25:00 AM,0:39:00 ,Medium
1467,Airport,2,Trip Completed,12-07-2016,5:08:00 AM,Morning,12-07-2016,6:02:00 AM,0:54:00 ,Medium
1983,City,2,Trip Completed,12-07-2016,12:30:00 PM,Afternoon,12-07-2016,12:57:00 PM,0:27:00 ,Near
2784,Airport,2,Trip Completed,13-07-2016,4:49:20 AM,Early Morning,13-07-2016,5:23:03 AM,0:33:43 ,Medium
3075,City,2,Trip Completed,13-07-2016,8:02:53 AM,Morning,13-07-2016,9:16:19 AM,1:13:26 ,Far
3379,City,2,Trip Completed,13-07-2016,2:23:02 PM,Afternoon,13-07-2016,3:35:18 PM,1:12:16 ,Far
3482,Airport,2,Trip Completed,13-07-2016,5:23:18 PM,Evening,13-07-2016,6:20:51 PM,0:57:33 ,Medium
4652,City,2,Trip Completed,14-07-2016,12:01:02 PM,Afternoon,14-07-2016,12:36:46 PM,0:35:44 ,Medium
5335,Airport,2,Trip Completed,14-07-2016,10:24:13 PM,Night,14-07-2016,11:18:52 PM,0:54:39 ,Medium
535,Airport,3,Trip Completed,11-07-2016,10:00:00 AM,Morning,11-07-2016,10:31:00 AM,0:31:00 ,Medium
960,Airport,3,Trip Completed,11-07-2016,6:45:00 PM,Evening,11-07-2016,7:23:00 PM,0:38:00 ,Medium
1934,Airport,3,Trip Completed,12-07-2016,11:17:00 AM,Morning,12-07-2016,12:23:00 PM,1:06:00 ,Far
2083,Airport,3,Trip Completed,12-07-2016,3:46:00 PM,Afternoon,12-07-2016,4:40:00 PM,0:54:00 ,Medium
2211,Airport,3,Trip Completed,12-07-2016,6:00:00 PM,Evening,12-07-2016,6:28:00 PM,0:28:00 ,Near
3096,Airport,3,Trip Completed,13-07-2016,8:17:29 AM,Morning,13-07-2016,9:22:37 AM,1:05:08 ,Far
3881,Airport,3,Trip Completed,13-07-2016,9:54:18 PM,Night,13-07-2016,10:51:23 PM,0:57:05 ,Medium
5254,City,3,Trip Completed,14-07-2016,9:23:03 PM,Night,14-07-2016,10:25:19 PM,1:02:16 ,Far
5434,City,3,Trip Completed,15-07-2016,2:41:38 AM,Late Night,15-07-2016,3:24:43 AM,0:43:05 ,Medium
5916,City,3,Trip Completed,15-07-2016,10:00:43 AM,Morning,15-07-2016,10:53:06 AM,0:52:23 ,Medium
669,City,4,Trip Completed,11-07-2016,1:08:00 PM,Afternoon,11-07-2016,1:49:00 PM,0:41:00 ,Medium
1567,Airport,4,Trip Completed,12-07-2016,6:21:00 AM,Morning,12-07-2016,7:10:00 AM,0:49:00 ,Medium
1826,City,4,Trip Completed,12-07-2016,9:27:00 AM,Morning,12-07-2016,10:27:00 AM,1:00:00 ,Medium
2102,City,4,Trip Completed,12-07-2016,4:09:00 PM,Afternoon,12-07-2016,5:01:00 PM,0:52:00 ,Medium
2847,Airport,4,Trip Completed,13-07-2016,5:34:20 AM,Morning,13-07-2016,6:09:59 AM,0:35:39 ,Medium
3722,Airport,4,Trip Completed,13-07-2016,7:57:59 PM,Evening,13-07-2016,8:32:04 PM,0:34:05 ,Medium
4075,City,4,Trip Completed,14-07-2016,2:17:35 AM,Late Night,14-07-2016,3:21:38 AM,1:04:03 ,Far
4686,City,4,Trip Completed,14-07-2016,1:01:10 PM,Afternoon,14-07-2016,1:45:28 PM,0:44:18 ,Medium
5771,Airport,4,Trip Completed,15-07-2016,8:30:06 AM,Morning,15-07-2016,9:37:20 AM,1:07:14 ,Far
6106,Airport,4,Trip Completed,15-07-2016,3:01:20 PM,Afternoon,15-07-2016,3:47:31 PM,0:46:11 ,Medium
312,City,5,Trip Completed,11-07-2016,7:27:00 AM,Morning,11-07-2016,8:31:00 AM,1:04:00 ,Far
577,Airport,5,Trip Completed,11-07-2016,11:03:00 AM,Morning,11-07-2016,12:01:00 PM,0:58:00 ,Medium
1179,City,5,Trip Completed,11-07-2016,8:58:00 PM,Evening,11-07-2016,9:45:00 PM,0:47:00 ,Medium
1756,Airport,5,Trip Completed,12-07-2016,8:40:00 AM,Morning,12-07-2016,9:23:00 AM,0:43:00 ,Medium
2052,City,5,Trip Completed,12-07-2016,2:48:00 PM,Afternoon,12-07-2016,3:50:00 PM,1:02:00 ,Far
2559,City,5,Trip Completed,12-07-2016,9:32:00 PM,Night,12-07-2016,10:29:00 PM,0:57:00 ,Medium
3014,City,5,Trip Completed,13-07-2016,7:28:14 AM,Morning,13-07-2016,8:29:47 AM,1:01:33 ,Far
3317,City,5,Trip Completed,13-07-2016,12:14:27 PM,Afternoon,13-07-2016,12:46:38 PM,0:32:11 ,Medium
4297,City,5,Trip Completed,14-07-2016,6:43:01 AM,Morning,14-07-2016,7:49:38 AM,1:06:37 ,Far
5857,Airport,5,Trip Completed,15-07-2016,9:08:50 AM,Morning,15-07-2016,10:07:07 AM,0:58:17 ,Medium
6690,Airport,5,Trip Completed,15-07-2016,10:41:41 PM,Night,15-07-2016,11:51:00 PM,1:09:19 ,Far
1517,Airport,6,Trip Completed,12-07-2016,5:45:00 AM,Morning,12-07-2016,6:28:00 AM,0:43:00 ,Medium
1999,Airport,6,Trip Completed,12-07-2016,1:02:00 PM,Afternoon,12-07-2016,1:51:00 PM,0:49:00 ,Medium
2960,Airport,6,Trip Completed,13-07-2016,6:50:33 AM,Morning,13-07-2016,7:40:35 AM,0:50:02 ,Medium
3882,City,6,Trip Completed,13-07-2016,9:53:03 PM,Night,13-07-2016,10:45:24 PM,0:52:21 ,Medium
4081,Airport,6,Trip Completed,14-07-2016,2:37:14 AM,Late Night,14-07-2016,3:30:27 AM,0:53:13 ,Medium
4740,City,6,Trip Completed,14-07-2016,2:50:07 PM,Afternoon,14-07-2016,3:38:14 PM,0:48:07 ,Medium
5270,City,6,Trip Completed,14-07-2016,9:33:55 PM,Night,14-07-2016,10:25:43 PM,0:51:48 ,Medium
6758,Airport,6,Trip Completed,15-07-2016,12:03:39 AM,Late Night,15-07-2016,1:07:39 AM,1:04:00 ,Far
5741,City,6,Trip Completed,15-07-2016,7:52:51 AM,Morning,15-07-2016,8:38:55 AM,0:46:04 ,Medium
6087,Airport,6,Trip Completed,15-07-2016,2:28:50 PM,Afternoon,15-07-2016,3:33:53 PM,1:05:03 ,Far
1039,City,7,Trip Completed,11-07-2016,7:31:00 PM,Evening,11-07-2016,8:41:00 PM,1:10:00 ,Far
1273,Airport,7,Trip Completed,11-07-2016,10:07:00 PM,Night,11-07-2016,11:12:00 PM,1:05:00 ,Far
2480,City,7,Trip Completed,12-07-2016,8:39:00 PM,Evening,12-07-2016,9:28:00 PM,0:49:00 ,Medium
4105,City,7,Trip Completed,14-07-2016,3:39:38 AM,Early Morning,14-07-2016,4:39:04 AM,0:59:26 ,Medium
4509,City,7,Trip Completed,14-07-2016,9:11:13 AM,Morning,14-07-2016,10:17:01 AM,1:05:48 ,Far
