Request id,Pickup point,Driver id,Status,Request,Req_timestamp,Day Category,Drop,Drop_timestamp,Travel Time,Distance
619,Airport,1.0,Trip Completed,11-07-2016,2025-01-01 11:51:00,Morning,11-07-2016,2025-01-01 13:00:00,1:09:00 ,Far
867,Airport,1.0,Trip Completed,11-07-2016,2025-01-01 17:57:00,Evening,11-07-2016,2025-01-01 18:47:00,0:50:00 ,Medium
1807,City,1.0,Trip Completed,12-07-2016,2025-01-01 09:17:00,Morning,12-07-2016,2025-01-01 09:58:00,0:41:00 ,Medium
2532,Airport,1.0,Trip Completed,12-07-2016,2025-01-01 21:08:00,Night,12-07-2016,2025-01-01 22:03:00,0:55:00 ,Medium
3112,City,1.0,Trip Completed,13-07-2016,2025-01-01 08:33:16,Morning,13-07-2016,2025-01-01 09:25:47,0:52:31 ,Medium
3879,Airport,1.0,Trip Completed,13-07-2016,2025-01-01 21:57:28,Night,13-07-2016,2025-01-01 22:28:59,0:31:31 ,Medium
4270,Airport,1.0,Trip Completed,14-07-2016,2025-01-01 06:15:32,Morning,14-07-2016,2025-01-01 07:13:15,0:57:43 ,Medium
5510,Airport,1.0,Trip Completed,15-07-2016,2025-01-01 05:11:52,Morning,15-07-2016,2025-01-01 06:07:52,0:56:00 ,Medium
6248,City,1.0,Trip Completed,15-07-2016,2025-01-01 17:57:27,Evening,15-07-2016,2025-01-01 18:50:51,0:53:24 ,Medium
267,City,2.0,Trip Completed,11-07-2016,2025-01-01 06:46:00,Morning,11-07-2016,2025-01-01 07:25:00,0:39:00 ,Medium
1467,Airport,2.0,Trip Completed,12-07-2016,2025-01-01 05:08:00,Morning,12-07-2016,2025-01-01 06:02:00,0:54:00 ,Medium
1983,City,2.0,Trip Completed,12-07-2016,2025-01-01 12:30:00,Afternoon,12-07-2016,2025-01-01 12:57:00,0:27:00 ,Near
2784,Airport,2.0,Trip Completed,13-07-2016,2025-01-01 04:49:20,Early Morning,13-07-2016,2025-01-01 05:23:03,0:33:43 ,Medium
3075,City,2.0,Trip Completed,13-07-2016,2025-01-01 08:02:53,Morning,13-07-2016,2025-01-01 09:16:19,1:13:26 ,Far
3379,City,2.0,Trip Completed,13-07-2016,2025-01-01 14:23:02,Afternoon,13-07-2016,2025-01-01 15:35:18,1:12:16 ,Far
3482,Airport,2.0,Trip Completed,13-07-2016,2025-01-01 17:23:18,Evening,13-07-2016,2025-01-01 18:20:51,0:57:33 ,Medium
4652,City,2.0,Trip Completed,14-07-2016,2025-01-01 12:01:02,Afternoon,14-07-2016,2025-01-01 12:36:46,0:35:44 ,Medium
5335,Airport,2.0,Trip Completed,14-07-2016,2025-01-01 22:24:13,Night,14-07-2016,2025-01-01 23:18:52,0:54:39 ,Medium
535,Airport,3.0,Trip Completed,11-07-2016,2025-01-01 10:00:00,Morning,11-07-2016,2025-01-01 10:31:00,0:31:00 ,Medium
960,Airport,3.0,Trip Completed,11-07-2016,2025-01-01 18:45:00,Evening,11-07-2016,2025-01-01 19:23:00,0:38:00 ,Medium
1934,Airport,3.0,Trip Completed,12-07-2016,2025-01-01 11:17:00,Morning,12-07-2016,2025-01-01 12:23:00,1:06:00 ,Far
2083,Airport,3.0,Trip Completed,12-07-2016,2025-01-01 15:46:00,Afternoon,12-07-2016,2025-01-01 16:40:00,0:54:00 ,Medium
2211,Airport,3.0,Trip Completed,12-07-2016,2025-01-01 18:00:00,Evening,12-07-2016,2025-01-01 18:28:00,0:28:00 ,Near
3096,Airport,3.0,Trip Completed,13-07-2016,2025-01-01 08:17:29,Morning,13-07-2016,2025-01-01 09:22:37,1:05:08 ,Far
3881,Airport,3.0,Trip Completed,13-07-2016,2025-01-01 21:54:18,Night,13-07-2016,2025-01-01 22:51:23,0:57:05 ,Medium
5254,City,3.0,Trip Completed,14-07-2016,2025-01-01 21:23:03,Night,14-07-2016,2025-01-01 22:25:19,1:02:16 ,Far
5434,City,3.0,Trip Completed,15-07-2016,2025-01-01 02:41:38,Late Night,15-07-2016,2025-01-01 03:24:43,0:43:05 ,Medium
5916,City,3.0,Trip Completed,15-07-2016,2025-01-01 10:00:43,Morning,15-07-2016,2025-01-01 10:53:06,0:52:23 ,Medium
669,City,4.0,Trip Completed,11-07-2016,2025-01-01 13:08:00,Afternoon,11-07-2016,2025-01-01 13:49:00,0:41:00 ,Medium
1567,Airport,4.0,Trip Completed,12-07-2016,2025-01-01 06:21:00,Morning,12-07-2016,2025-01-01 07:10:00,0:49:00 ,Medium
1826,City,4.0,Trip Completed,12-07-2016,2025-01-01 09:27:00,Morning,12-07-2016,2025-01-01 10:27:00,1:00:00 ,Medium
2102,City,4.0,Trip Completed,12-07-2016,2025-01-01 16:09:00,Afternoon,12-07-2016,2025-01-01 17:01:00,0:52:00 ,Medium
2847,Airport,4.0,Trip Completed,13-07-2016,2025-01-01 05:34:20,Morning,13-07-2016,2025-01-01 06:09:59,0:35:39 ,Medium
3722,Airport,4.0,Trip Completed,13-07-2016,2025-01-01 19:57:59,Evening,13-07-2016,2025-01-01 20:32:04,0:34:05 ,Medium
4075,City,4.0,Trip Completed,14-07-2016,2025-01-01 02:17:35,Late Night,14-07-2016,2025-01-01 03:21:38,1:04:03 ,Far
4686,City,4.0,Trip Completed,14-07-2016,2025-01-01 13:01:10,Afternoon,14-07-2016,2025-01-01 13:45:28,0:44:18 ,Medium
5771,Airport,4.0,Trip Completed,15-07-2016,2025-01-01 08:30:06,Morning,15-07-2016,2025-01-01 09:37:20,1:07:14 ,Far
6106,Airport,4.0,Trip Completed,15-07-2016,2025-01-01 15:01:20,Afternoon,15-07-2016,2025-01-01 15:47:31,0:46:11 ,Medium
312,City,5.0,Trip Completed,11-07-2016,2025-01-01 07:27:00,Morning,11-07-2016,2025-01-01 08:31:00,1:04:00 ,Far
